,time,open,high,low,close,volume,end_time,quote_volume,nbs_trades,buy_base_volume,buy_quote_volume,date
0,1674543900000,23106.95000000,23110.61000000,23085.76000000,23091.55000000,630.61608000,1674544199999,14566380.66461500,16305,277.83405000,6417590.53673320,2023-01-24 07:05:00
1,1674544200000,23090.91000000,23108.81000000,23088.00000000,23105.29000000,575.36949000,1674544499999,13291797.74990250,16758,297.38961000,6870116.33255640,2023-01-24 07:10:00
2,1674544500000,23104.99000000,23124.00000000,23103.75000000,23121.37000000,561.91007000,1674544799999,12988062.53106170,15914,298.39886000,6897337.65053700,2023-01-24 07:15:00
3,1674544800000,23122.03000000,23128.99000000,23091.00000000,23093.35000000,774.54763000,1674545099999,17901232.60919500,18489,365.01363000,8436068.25595550,2023-01-24 07:20:00
4,1674545100000,23093.35000000,23105.25000000,23086.01000000,23091.23000000,635.77337000,1674545399999,14682630.25947730,15987,314.00637000,7251845.18777190,2023-01-24 07:25:00
5,1674545400000,23092.30000000,23094.00000000,23075.62000000,23089.73000000,686.66092000,1674545699999,15851833.89833650,16224,332.20161000,7669077.55974470,2023-01-24 07:30:00
6,1674545700000,23088.97000000,23098.57000000,23083.30000000,23090.16000000,573.73738000,1674545999999,13248414.45638110,13658,289.48774000,6684799.74935960,2023-01-24 07:35:00
7,1674546000000,23090.15000000,23092.52000000,23040.06000000,23059.15000000,979.12408000,1674546299999,22583897.33413660,22144,443.45937000,10228280.83110510,2023-01-24 07:40:00
8,1674546300000,23059.83000000,23066.37000000,23006.98000000,23053.69000000,1119.81096000,1674546599999,25803062.57494550,23621,527.57594000,12156836.61287230,2023-01-24 07:45:00
9,1674546600000,23054.51000000,23063.84000000,23031.30000000,23052.66000000,634.39181000,1674546899999,14619552.00100040,17611,334.58496000,7710526.64787820,2023-01-24 07:50:00
10,1674546900000,23052.66000000,23061.00000000,23037.19000000,23054.08000000,632.11320000,1674547199999,14572235.54655180,17694,328.05360000,7562700.53695100,2023-01-24 07:55:00
11,1674547200000,23054.70000000,23069.00000000,23053.88000000,23062.99000000,603.53495000,1674547499999,13918981.62747740,18323,306.88651000,7077669.82535220,2023-01-24 08:00:00
12,1674547500000,23063.74000000,23067.45000000,23034.68000000,23036.03000000,823.70721000,1674547799999,18986052.28359710,21415,363.54605000,8379885.89260640,2023-01-24 08:05:00
13,1674547800000,23036.04000000,23053.74000000,23033.80000000,23043.55000000,570.62603000,1674548099999,13150516.76882060,16429,274.99616000,6337529.01534460,2023-01-24 08:10:00
14,1674548100000,23042.69000000,23067.90000000,23042.24000000,23066.16000000,595.58717000,1674548399999,13732598.63050720,17334,307.13519000,7081745.74403350,2023-01-24 08:15:00
15,1674548400000,23066.16000000,23082.45000000,23054.21000000,23077.37000000,647.04836000,1674548699999,14927518.03044440,19287,357.09194000,8238308.06887920,2023-01-24 08:20:00
16,1674548700000,23077.00000000,23090.25000000,23068.39000000,23073.76000000,602.14390000,1674548999999,13898100.08935290,19133,302.65603000,6985829.58595790,2023-01-24 08:25:00
17,1674549000000,23072.93000000,23078.53000000,23042.29000000,23054.78000000,772.20736000,1674549299999,17804767.55208260,21271,376.10921000,8672047.37797970,2023-01-24 08:30:00
18,1674549300000,23054.78000000,23068.46000000,23044.31000000,23062.50000000,595.70857000,1674549599999,13736449.24041210,17356,310.14707000,7151860.80024090,2023-01-24 08:35:00
19,1674549600000,23063.57000000,23089.11000000,23062.50000000,23078.19000000,564.01678000,1674549899999,13016196.77606620,16527,312.58975000,7213705.89074730,2023-01-24 08:40:00
20,1674549900000,23078.19000000,23081.64000000,23049.00000000,23057.51000000,635.72373000,1674550199999,14662488.28021490,18098,292.01905000,6735378.41596180,2023-01-24 08:45:00
21,1674550200000,23057.51000000,23069.65000000,23052.12000000,23056.28000000,536.11967000,1674550499999,12363460.16097470,15143,280.40779000,6466525.04724350,2023-01-24 08:50:00
22,1674550500000,23056.81000000,23065.79000000,23045.00000000,23053.12000000,577.99961000,1674550799999,13325762.13353820,16185,260.26903000,6000476.89036680,2023-01-24 08:55:00
23,1674550800000,23052.67000000,23058.29000000,22825.00000000,22925.41000000,3710.52496000,1674551099999,85161517.48020300,66204,1670.22477000,38331434.94565640,2023-01-24 09:00:00
24,1674551100000,22927.17000000,22974.61000000,22907.08000000,22924.50000000,2258.82482000,1674551399999,51823352.14973330,46733,1094.59610000,25113935.68369470,2023-01-24 09:05:00
25,1674551400000,22925.65000000,22951.97000000,22872.79000000,22919.43000000,2131.76745000,1674551699999,48848100.87752260,44117,1032.71800000,23664564.33648920,2023-01-24 09:10:00
26,1674551700000,22920.56000000,22935.13000000,22895.53000000,22925.52000000,1271.66526000,1674551999999,29144955.19304320,31332,678.52141000,15551157.02101710,2023-01-24 09:15:00
27,1674552000000,22925.52000000,22958.00000000,22914.24000000,22940.98000000,949.71337000,1674552299999,21785351.11541960,27011,494.84283000,11351427.87786310,2023-01-24 09:20:00
28,1674552300000,22939.82000000,22949.57000000,22886.87000000,22917.40000000,1367.76962000,1674552599999,31344242.09479990,31528,639.30725000,14650765.55539370,2023-01-24 09:25:00
29,1674552600000,22918.25000000,22926.46000000,22865.59000000,22882.90000000,1350.58411000,1674552899999,30918115.65789030,33343,613.85780000,14053203.57735540,2023-01-24 09:30:00
30,1674552900000,22881.11000000,22899.00000000,22818.80000000,22868.28000000,2039.54706000,1674553199999,46618309.69997320,43688,932.10053000,21306471.42159020,2023-01-24 09:35:00
31,1674553200000,22868.28000000,22879.64000000,22770.00000000,22809.93000000,2216.74694000,1674553499999,50577675.12169800,47394,1006.94633000,22975259.16507500,2023-01-24 09:40:00
32,1674553500000,22809.93000000,22872.35000000,22801.86000000,22868.59000000,1254.84622000,1674553799999,28666578.45342600,32600,649.39151000,14835718.21562620,2023-01-24 09:45:00
33,1674553800000,22867.65000000,22889.41000000,22853.15000000,22870.72000000,1121.66126000,1674554099999,25656564.66783970,27556,559.29901000,12793604.25760340,2023-01-24 09:50:00
34,1674554100000,22870.71000000,22872.75000000,22830.87000000,22852.79000000,966.81111000,1674554399999,22094728.39347690,25397,465.76192000,10644350.23530950,2023-01-24 09:55:00
35,1674554400000,22852.21000000,22903.20000000,22846.12000000,22898.66000000,1072.69233000,1674554699999,24541682.48467690,25194,554.29785000,12681735.91991210,2023-01-24 10:00:00
36,1674554700000,22899.48000000,22906.93000000,22885.68000000,22890.14000000,762.49886000,1674554999999,17458269.91264070,17963,349.26555000,7996996.57488400,2023-01-24 10:05:00
37,1674555000000,22889.33000000,22902.72000000,22865.78000000,22884.56000000,673.49222000,1674555299999,15413350.40182540,20154,324.28197000,7421476.45523160,2023-01-24 10:10:00
38,1674555300000,22884.56000000,22888.50000000,22859.52000000,22863.53000000,979.57517000,1674555599999,22406685.35797290,23167,484.17172000,11074616.72886060,2023-01-24 10:15:00
39,1674555600000,22864.14000000,22914.97000000,22860.31000000,22913.44000000,752.26095000,1674555899999,17218484.79634520,20943,396.25035000,9069818.18815460,2023-01-24 10:20:00
40,1674555900000,22913.44000000,22924.88000000,22903.75000000,22915.24000000,882.35597000,1674556199999,20219641.93161860,22196,457.06237000,10474013.07914560,2023-01-24 10:25:00
41,1674556200000,22915.24000000,22924.36000000,22897.81000000,22917.90000000,775.02555000,1674556499999,17758277.31676590,22084,341.16757000,7817306.68512680,2023-01-24 10:30:00
42,1674556500000,22917.14000000,22940.98000000,22910.00000000,22930.26000000,922.63213000,1674556799999,21151758.76764040,23432,458.82426000,10518949.60259340,2023-01-24 10:35:00
43,1674556800000,22929.34000000,22942.70000000,22921.19000000,22931.49000000,904.81636000,1674557099999,20749606.43049380,22626,419.31055000,9615995.37005680,2023-01-24 10:40:00
44,1674557100000,22931.49000000,22941.08000000,22901.01000000,22921.14000000,1112.00383000,1674557399999,25481001.69863620,24030,578.35261000,13252656.60102090,2023-01-24 10:45:00
45,1674557400000,22920.61000000,22928.37000000,22911.13000000,22918.59000000,497.22484000,1674557699999,11396025.83778200,15802,227.20173000,5207334.43003050,2023-01-24 10:50:00
46,1674557700000,22919.26000000,22933.54000000,22901.55000000,22902.51000000,623.48288000,1674557999999,14289597.19328800,16794,311.80060000,7146178.96828960,2023-01-24 10:55:00
47,1674558000000,22902.51000000,22917.00000000,22893.98000000,22900.47000000,667.86349000,1674558299999,15297641.32592070,18057,308.70663000,7071169.31482120,2023-01-24 11:00:00
48,1674558300000,22899.54000000,22905.86000000,22877.98000000,22880.10000000,713.97080000,1674558599999,16345394.17630930,19595,327.59324000,7499928.36350600,2023-01-24 11:05:00
49,1674558600000,22880.11000000,22920.00000000,22870.00000000,22904.61000000,695.48457000,1674558899999,15927119.02698090,20408,363.05409000,8314448.16044600,2023-01-24 11:10:00
50,1674558900000,22904.17000000,22914.41000000,22888.47000000,22888.80000000,587.71391000,1674559199999,13460929.43530040,17796,279.13108000,6393382.40799070,2023-01-24 11:15:00
51,1674559200000,22890.01000000,22908.93000000,22885.73000000,22906.03000000,568.76369000,1674559499999,13021836.96192130,17205,312.36902000,7151831.05328890,2023-01-24 11:20:00
52,1674559500000,22906.03000000,22930.38000000,22901.64000000,22922.55000000,830.75298000,1674559799999,19040855.18349210,21301,472.25078000,10824345.45745740,2023-01-24 11:25:00
53,1674559800000,22923.22000000,22933.32000000,22917.58000000,22927.19000000,576.84978000,1674560099999,13225257.40789180,16191,328.71408000,7536477.36434930,2023-01-24 11:30:00
